Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-17419	gnl|uv|A14161.1:1-54 vectorette unit 4	54
Sequence-17420	gnl|uv|A14173.1:1-54 vectorette unit 10	54
Sequence-17421	gnl|uv|NGB00194.1:1-54 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHSF and other libraries	54
Sequence-17422	gnl|uv|NGB00203.1:1-54 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHPA and other libraries	54
Sequence-17423	gnl|uv|NGB00246.1:1-54 NotI oligo-dT primer used in I.M.A.G.E. library Soares NXEG and other libraries	54
Sequence-17424	gnl|uv|A13800.1:1-50 oligonucleotide 39	50
Sequence-17425	gnl|uv|A14139.1:1-50 oligonucleotide 42	50
Sequence-17426	gnl|uv|A14172.1:1-53 vectorette unit 9	53
Sequence-17427	gnl|uv|NGB00175.1:1-53 Oligo-dT primer used in I.M.A.G.E. library NICHD_XGC_bone and other libraries	53
Sequence-17428	gnl|uv|NGB00232.1:1-53 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMMAX and other libraries	53
Sequence-17429	gnl|uv|NGB00242.1:1-53 NotI oligo-dT primer used in I.M.A.G.E. library Soares NKWMD and other libraries	53
Sequence-17430	gnl|uv|NGB00252.1:1-53 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Ov18 and other libraries	53
Sequence-17431	gnl|uv|NGB00198.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library Soares NML and other libraries	52
Sequence-17432	gnl|uv|NGB00209.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMBP and other libraries	52
Sequence-17433	gnl|uv|NGB00216.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Brn41 and other libraries	52
Sequence-17434	gnl|uv|NGB00218.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHH19W and other libraries	52
Sequence-17435	gnl|uv|NGB00228.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library NIH_MGC_210 and other libraries	52
Sequence-17436	gnl|uv|NGB00245.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHPU and other libraries	52
Sequence-17437	gnl|uv|NGB00251.1:1-52 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Lu13 and other libraries	52
Sequence-17438	gnl|uv|NGB00327.1:1-52 Oligo-dC primer used in I.M.A.G.E. library Schneider fetal brain 00004 and other libraries	52
Sequence-17439	gnl|uv|NGB00349.1:1-52 SNX linker dimer	52
Sequence-17440	gnl|uv|NGB00165.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMBP1 and other libraries	51
Sequence-17441	gnl|uv|NGB00169.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMBPA and other libraries	51
Sequence-17442	gnl|uv|NGB00170.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMBP13-15 and other libraries	51
Sequence-17443	gnl|uv|NGB00176.1:1-51 Oligo-dT primer used in I.M.A.G.E. library Ko embryo 11.5dpc and other libraries	51
Sequence-17444	gnl|uv|NGB00195.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares NHFTh and other libraries	51
Sequence-17445	gnl|uv|NGB00200.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHL19W and other libraries	51
Sequence-17446	gnl|uv|NGB00204.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Mam10 and other libraries	51
Sequence-17447	gnl|uv|NGB00220.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares p3NMF19.5 and other libraries	51
Sequence-17448	gnl|uv|NGB00236.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares/Dieckgraefe NHCD and other libraries	51
Sequence-17449	gnl|uv|NGB00239.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Lu33 and other libraries	51
Sequence-17450	gnl|uv|NGB00243.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares 3NME12.5 and other libraries	51
Sequence-17451	gnl|uv|NGB00264.1:1-51 NotI oligo-dT primer used in I.M.A.G.E. library Soares/Dieckgraefe NHUC and other libraries	51
Sequence-17452	gnl|uv|A14151.1:1-50 oligonucleotide 54	50
Sequence-17453	gnl|uv|A14162.1:1-50 vectorette unit 4	50
Sequence-17454	gnl|uv|A14174.1:1-50 vectorette unit 10	50
Sequence-17455	gnl|uv|NGB00185.1:1-50 Oligo-dT primer used in I.M.A.G.E. library Schiller astrocytoma and other libraries	50
Sequence-17456	gnl|uv|NGB00224.1:1-50 NotI oligo-dT primer used in I.M.A.G.E. library Soares 2NbHMSP and other libraries	50
Sequence-17457	gnl|uv|NGB00266.1:1-50 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_GCB1 and other libraries	50
Sequence-17458	gnl|uv|NGB00268.1:1-50 NotI oligo-dT primer used in I.M.A.G.E. library Soares Nb2HF8-9w and other libraries	50
Sequence-17459	gnl|uv|NGB00329.1:1-50 XhoI oligo-dC primer used in I.M.A.G.E. library GC_BGC-01 and other libraries	50
Sequence-17460	gnl|uv|NGB00621.1:1-50 Oligo-dT primer used in I.M.A.G.E. library OW stage 11 and other libraries	50
Sequence-17461	gnl|uv|NGB00186.1:1-49 Oligo-dT primer used in I.M.A.G.E. library NIH_XGC_tropKid1 and other libraries	49
Sequence-17462	gnl|uv|NGB00226.1:1-49 NotI oligo-dT primer used in I.M.A.G.E. library Soares NHT and other libraries	49
Sequence-17463	gnl|uv|NGB00237.1:1-49 NotI oligo-dT primer used in I.M.A.G.E. library Soares 1NbHPG and other libraries	49
Sequence-17464	gnl|uv|NGB00258.1:1-49 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHOT and other libraries	49
Sequence-17465	gnl|uv|NGB00330.1:1-49 Oligo-dC primer used in I.M.A.G.E. library GC_BGC-11 and other libraries	49
Sequence-17466	gnl|uv|NGB00073.1:1-48 MluI Adapter multimer	48
Sequence-17467	gnl|uv|NGB00289.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB8 and other libraries	48
Sequence-17468	gnl|uv|NGB00291.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB7 and other libraries	48
Sequence-17469	gnl|uv|NGB00293.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB15 and other libraries	48
Sequence-17470	gnl|uv|NGB00295.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB1 and other libraries	48
Sequence-17471	gnl|uv|NGB00297.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB12 and other libraries	48
Sequence-17472	gnl|uv|NGB00299.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB3 and other libraries	48
Sequence-17473	gnl|uv|NGB00301.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB3 and other libraries	48
Sequence-17474	gnl|uv|NGB00303.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB5 and other libraries	48
Sequence-17475	gnl|uv|NGB00305.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB6 and other libraries	48
Sequence-17476	gnl|uv|NGB00307.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB7 and other libraries	48
Sequence-17477	gnl|uv|NGB00311.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB10 and other libraries	48
Sequence-17478	gnl|uv|NGB00313.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB13 and other libraries	48
Sequence-17479	gnl|uv|NGB00315.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead HPL-RB4 and other libraries	48
Sequence-17480	gnl|uv|NGB00317.1:1-48 Multimer of EcoRI adaptor used in I.M.A.G.E. library Barstead MPL-RB11 and other libraries	48
Sequence-17481	gnl|uv|NGB00172.1:1-47 Oligo-dT primer used in I.M.A.G.E. library NIH_MGC_149 and other libraries	47
Sequence-17482	gnl|uv|NGB00155.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMO1 and other libraries	46
Sequence-17483	gnl|uv|NGB00157.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Lei2 and other libraries	46
Sequence-17484	gnl|uv|NGB00159.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Kid3 and other libraries	46
Sequence-17485	gnl|uv|NGB00160.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMAP and other libraries	46
Sequence-17486	gnl|uv|NGB00164.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMO2 and other libraries	46
Sequence-17487	gnl|uv|NGB00167.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMBP2 and other libraries	46
Sequence-17488	gnl|uv|NGB00168.1:1-46 NotI oligo-dT primer used in I.M.A.G.E. library Soares NMTC and other libraries	46
Sequence-17489	gnl|uv|NGB00177.1:1-46 Oligo-dT primer used in I.M.A.G.E. library GC_BGC-11 and other libraries	46
Sequence-17490	gnl|uv|NGB00188.1:1-46 Oligo-dT primer used in I.M.A.G.E. library RIKEN Xenopus egg and other libraries	46
Sequence-17491	gnl|uv|NGB00156.1:1-45 NotI oligo-dT primer used in I.M.A.G.E. library Soares NbHFB and other libraries	45
Sequence-17492	gnl|uv|NGB00158.1:1-45 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Kid5 and other libraries	45
Sequence-17493	gnl|uv|NGB00161.1:1-45 NotI oligo-dT primer used in I.M.A.G.E. library Soares 1NIB and other libraries	45
Sequence-17494	gnl|uv|NGB00163.1:1-45 NotI oligo-dT primer used in I.M.A.G.E. library NCI_CGAP_Lu5 and other libraries	45
Sequence-17495	gnl|uv|NGB00173.1:1-45 Oligo-dT primer used in I.M.A.G.E. library NIH_XGC_tropBrn1 and other libraries	45
Sequence-17496	gnl|uv|NGB00166.1:1-44 NotI oligo-dT primer used in I.M.A.G.E. library Soares 2NbHP8-9W and other libraries	44
Sequence-17497	gnl|uv|NGB00178.1:1-44 BamHI oligo-dT primer used in I.M.A.G.E. library GC_BGC-01 and other libraries	44
Sequence-17498	gnl|uv|NGB00284.1:1-44 cDNA synthesis primer used in I.M.A.G.E. library Xenla_13LiCl and other libraries	44
Sequence-17499	gnl|uv|NGB00617.1:1-44 cDNA synthesis primer dT-ACP1	44
Sequence-17500	gnl|uv|NGB00154.1:1-43 PacI oligo-dT primer used in I.M.A.G.E. library Soares 1NFLS and other libraries	43
Sequence-17501	gnl|uv|NGB00179.1:1-43 Oligo-dT primer used in I.M.A.G.E. library MPZFRiken1 and other libraries	43
Sequence-17502	gnl|uv|NGB00180.1:1-43 Oligo-dT primer used in I.M.A.G.E. library MPZFRiken1 and other libraries	43
Sequence-17503	gnl|uv|NGB00181.1:1-43 Oligo-dT primer used in I.M.A.G.E. library MPZFRiken1 and other libraries	43
Sequence-17504	gnl|uv|NGB00184.1:1-43 Oligo-dT primer used in I.M.A.G.E. library GC_BGC-18 and other libraries	43
Sequence-17505	gnl|uv|NGB00326.1:1-43 XhoI adaptor used in I.M.A.G.E. library RIKEN Xenopus egg and other libraries	43
Sequence-17506	gnl|uv|A13775.1:1-42 oligonucleotide 14	42
Sequence-17507	gnl|uv|A13776.1:1-42 oligonucleotide 15	42
Sequence-17508	gnl|uv|A13777.1:1-42 oligonucleotide 16	42
Sequence-17509	gnl|uv|A13778.1:1-42 oligonucleotide 17	42
Sequence-17510	gnl|uv|NGB00162.1:1-42 NotI oligo-dT primer used in I.M.A.G.E. library Soares 2NbHM and other libraries	42
Sequence-17511	gnl|uv|NGB00189.1:1-42 Oligo-dT primer used in I.M.A.G.E. library NIH_ZGC_4 and other libraries	42
Sequence-17512	gnl|uv|NGB00110.1:1-40 Putative Vectorette sequence included in AF250349.1 (bases 1366..1405)	40
Sequence-17513	gnl|uv|NGB00325.1:1-39 Adaptor used in I.M.A.G.E. library NIH_MGC_126 and other libraries	39
Sequence-17514	gnl|uv|NGB00324.1:1-38 Deoxy-UMP adaptor used in I.M.A.G.E. library Zebrafish SJD 2 day embryo and other libraries	38
Sequence-17515	gnl|uv|NGB00328.1:1-38 XhoI oligo-dC primer used in I.M.A.G.E. library XtSt10-30 and other libraries	38
Sequence-17516	gnl|uv|NGB00187.1:1-37 Oligo-dT primer used in I.M.A.G.E. library NIH_XGC_tropGas5 and other libraries	37
Sequence-17517	gnl|uv|NGB00323.1:1-37 Deoxy-UMP adaptor used in I.M.A.G.E. library Zebrafish SJD 2 day embryo and other libraries	37
Sequence-17518	gnl|uv|NGB00283.1:1-36 NotI oligo-dT primer used in I.M.A.G.E. library NIH_MGC_219 and other libraries	36
Sequence-17519	gnl|uv|NGB00622.1:1-36 Nick 3Kb linker	36
Sequence-17520	gnl|uv|NGB00182.1:1-35 Oligo-dT primer used in I.M.A.G.E. library XtSt10-30 and other libraries	35
Sequence-17521	gnl|uv|NGB00183.1:1-34 Oligo-dT primer used in I.M.A.G.E. library Schneider fetal brain 00004 and other libraries	34
Sequence-17522	gnl|uv|NGB00282.1:1-34 NotI oligo-dT primer used in I.M.A.G.E. library NIH_MGC_217 and other libraries	34
Sequence-17523	gnl|uv|NGB00174.1:1-32 SalI oligo-dT primer used in I.M.A.G.E. library Knowles/Solter egg and other libraries	32
Sequence-17524	gnl|uv|NGB00983.1:1-31 Whole Transcriptome Amplification 5'-end tag	31
Sequence-17525	gnl|uv|NGB00345.1:1-30 SfiI adaptor used in Sugano I.M.A.G.E. libraries and other libraries	30
Sequence-17526	gnl|uv|NGB00346.1:1-28 SuperSNX24+4P linker monomer	28
Sequence-17527	gnl|uv|NGB00322.1:1-27 Switch primer used in I.M.A.G.E. library NIH_MGC_149 and other libraries	27
Sequence-17528	gnl|uv|NGB00618.1:1-27 5' Primer 10-mer-I5-tail1	27
Sequence-17529	gnl|uv|NGB00619.1:1-27 3' Primer 10-mer-I5-tail3	27
Sequence-17530	gnl|uv|NGB00348.1:1-26 SNX linker monomer	26
Sequence-17531	gnl|uv|NGB00982.1:1-26 Universal primer-dN6	26
Sequence-17532	gnl|uv|NGB00977.1:1-25 Rsa25 adaptor	25
Sequence-17533	gnl|uv|NGB00978.1:1-25 Microsatellite cloning adaptor Sau3AI	25
Sequence-17534	gnl|uv|NGB00979.1:1-25 Microsatellite cloning adaptor Tsp509I	25
Sequence-17535	gnl|uv|NGB00980.1:1-25 Microsatellite cloning adaptor HinP1I	25
Sequence-17536	gnl|uv|NGB00321.1:1-23 Adaptor used in I.M.A.G.E. library NIH_MGC_63 and other libraries	23
Sequence-17537	gnl|uv|NGB00976.1:1-21 Rsa21 adaptor	21
Sequence-17538	gnl|uv|NGB00319.1:1-20 Lone-linker Sal3 adaptor used in I.M.A.G.E. library Ko embryo 11.5dpc and other libraries	20
Sequence-17539	gnl|uv|NGB00318.1:1-16 Adaptor used in I.M.A.G.E. library NIH_MGC_53 and other libraries	16
Sequence-17540	gnl|uv|NGB00285.1:1-12 EcoRI adaptor used in I.M.A.G.E. library Xenla_13LiCl and other libraries	12
Sequence-17541	gnl|uv|AF025844.2:1-1314 Co-reporter vector pRL-Null	1314
Sequence-17542	gnl|uv|AF025844.2:1439-1547 Co-reporter vector pRL-Null	109
Sequence-17543	gnl|uv|AF025844.2:3265-3320-49 Co-reporter vector pRL-Null	105
Sequence-17544	gnl|uv|U47626.2:1-490 Cloning vector PinPoint<TM> Xa-1	490
Sequence-17545	gnl|uv|U47626.2:2785-2880 Cloning vector PinPoint<TM> Xa-1	96
Sequence-17546	gnl|uv|U47626.2:2976-3068 Cloning vector PinPoint<TM> Xa-1	93
Sequence-17547	gnl|uv|U47626.2:3235-3331-49 Cloning vector PinPoint<TM> Xa-1	146
Sequence-17548	gnl|uv|U47627.1:345-441 Cloning vector PinPoint<TM> Xa-2	97
Sequence-17549	gnl|uv|U47628.1:346-441 Cloning vector PinPoint<TM> Xa-3	96
Sequence-17550	gnl|uv|U47121.2:372-500 Cloning vector pSI, mammalian expression vector	129
Sequence-17551	gnl|uv|U47121.2:636-771 Cloning vector pSI, mammalian expression vector	136
Sequence-17552	gnl|uv|U47121.2:926-1024 Cloning vector pSI, mammalian expression vector	99
Sequence-17553	gnl|uv|U47121.2:3584-3632-49 Cloning vector pSI, mammalian expression vector	98
Sequence-17554	gnl|uv|U13867.1:297-483 pSVK3 cloning vector	187
Sequence-17555	gnl|uv|U13867.1:503-600 pSVK3 cloning vector	98
Sequence-17556	gnl|uv|U13867.1:1358-1452 pSVK3 cloning vector	95
Sequence-17557	gnl|uv|U13867.1:3874-3919-45 pSVK3 cloning vector	91
Sequence-17558	gnl|uv|X65317.2:36-162 Cloning vector pGEMEX-1	127
Sequence-17559	gnl|uv|X65317.2:960-1057 Cloning vector pGEMEX-1	98
Sequence-17560	gnl|uv|X65317.2:3921-3993-32 Cloning vector pGEMEX-1	105
Sequence-17561	gnl|uv|X65318.2:17-133 Cloning vector pGEMEX-2	117
Sequence-17562	gnl|uv|U47119.2:1-188 Cloning vector pCI, mammalian expression vector	188
Sequence-17563	gnl|uv|U47119.2:349-589 Cloning vector pCI, mammalian expression vector	241
Sequence-17564	gnl|uv|U47119.2:606-846 Cloning vector pCI, mammalian expression vector	241
Sequence-17565	gnl|uv|U47119.2:1238-1336 Cloning vector pCI, mammalian expression vector	99
Sequence-17566	gnl|uv|U47119.2:3958-4006-49 Cloning vector pCI, mammalian expression vector	98
Sequence-17567	gnl|uv|U57024.2:1-114 Reporter vector pCAT<R>3-Basic vector	114
Sequence-17568	gnl|uv|U57024.2:201-339 Reporter vector pCAT<R>3-Basic vector	139
Sequence-17569	gnl|uv|U57024.2:458-556 Reporter vector pCAT<R>3-Basic vector	99
Sequence-17570	gnl|uv|U57024.2:904-1016 Reporter vector pCAT<R>3-Basic vector	113
Sequence-17571	gnl|uv|U57024.2:1171-1266 Reporter vector pCAT<R>3-Basic vector	96
Sequence-17572	gnl|uv|U57024.2:1302-1390 Reporter vector pCAT<R>3-Basic vector	89
Sequence-17573	gnl|uv|U57024.2:3688-4027-49 Reporter vector pCAT<R>3-Basic vector	389
Sequence-17574	gnl|uv|AF025846.2:1-55 Co-reporter vector pRL-TK	55
Sequence-17575	gnl|uv|AF025846.2:282-380 Co-reporter vector pRL-TK	99
Sequence-17576	gnl|uv|AF025846.2:711-806 Co-reporter vector pRL-TK	96
Sequence-17577	gnl|uv|AF025846.2:4003-4045-49 Co-reporter vector pRL-TK	92
Sequence-17578	gnl|uv|U13847.1:1-195 pDR540 cloning vector	195
Sequence-17579	gnl|uv|U13847.1:1295-1394 pDR540 cloning vector	100
Sequence-17580	gnl|uv|U13847.1:1428-1524 pDR540 cloning vector	97
Sequence-17581	gnl|uv|U13847.1:3728-3892 pDR540 cloning vector	165
Sequence-17582	gnl|uv|U13847.1:4017-4063-49 pDR540 cloning vector	96
Sequence-17583	gnl|uv|U47122.2:1-1771 Cloning vector pSP-luc+, Luciferase cassette vector	1771
Sequence-17584	gnl|uv|U47122.2:4063-4100-49 Cloning vector pSP-luc+, Luciferase cassette vector	87
Sequence-17585	gnl|uv|U47123.2:1-102 Cloning vector pSP-luc+NF	102
Sequence-17586	gnl|uv|U47123.2:4103-4103-49 Cloning vector pSP-luc+NF	50
Sequence-17587	gnl|uv|U13872.1:160-370 pTrc99a cloning vector	211
Sequence-17588	gnl|uv|U13872.1:737-801 pTrc99a cloning vector	65
Sequence-17589	gnl|uv|U13872.1:1340-1438 pTrc99a cloning vector	99
Sequence-17590	gnl|uv|U13872.1:2886-3014 pTrc99a cloning vector	129
Sequence-17591	gnl|uv|U13872.1:4115-4176-49 pTrc99a cloning vector	111
Sequence-17592	gnl|uv|U57027.2:1-189 Reporter vector pCAT<R>3-Promoter vector	189
Sequence-17593	gnl|uv|U57027.2:203-293 Reporter vector pCAT<R>3-Promoter vector	91
Sequence-17594	gnl|uv|U57027.2:4219-4219-49 Reporter vector pCAT<R>3-Promoter vector	50
Sequence-17595	gnl|uv|U13864.1:807-935 pRIT2T cloning vector	129
Sequence-17596	gnl|uv|U13864.1:2242-2339 pRIT2T cloning vector	98
Sequence-17597	gnl|uv|U13864.1:2615-2743 pRIT2T cloning vector	129
Sequence-17598	gnl|uv|U13864.1:2748-4229-45 pRIT2T cloning vector	1527
Sequence-17599	gnl|uv|U57026.2:22-118 Reporter vector pCAT<R>3-Enhancer vector	97
Sequence-17600	gnl|uv|U57026.2:207-304 Reporter vector pCAT<R>3-Enhancer vector	98
Sequence-17601	gnl|uv|U57026.2:1169-1277 Reporter vector pCAT<R>3-Enhancer vector	109
Sequence-17602	gnl|uv|U57026.2:1410-1507 Reporter vector pCAT<R>3-Enhancer vector	98
Sequence-17603	gnl|uv|U47295.2:11-134 Cloning vector pGL3-Basic	124
Sequence-17604	gnl|uv|U47295.2:1700-1790 Cloning vector pGL3-Basic	91
Sequence-17605	gnl|uv|U13868.1:1445-1577 pSVL cloning vector	133
Sequence-17606	gnl|uv|U13868.1:1723-1816 pSVL cloning vector	94
Sequence-17607	gnl|uv|U13868.1:2444-2539 pSVL cloning vector	96
Sequence-17608	gnl|uv|U13868.1:4347-4439 pSVL cloning vector	93
Sequence-17609	gnl|uv|X65316.2:1-162 Cloning vector pGEM-luc	162
Sequence-17610	gnl|uv|X65316.2:299-502 Cloning vector pGEM-luc	204
Sequence-17611	gnl|uv|X65316.2:524-646 Cloning vector pGEM-luc	123
Sequence-17612	gnl|uv|X65316.2:695-984 Cloning vector pGEM-luc	290
Sequence-17613	gnl|uv|X65316.2:1055-1258 Cloning vector pGEM-luc	204
Sequence-17614	gnl|uv|X65316.2:1265-1449 Cloning vector pGEM-luc	185
Sequence-17615	gnl|uv|X65316.2:1541-1805 Cloning vector pGEM-luc	265
Sequence-17616	gnl|uv|X65316.2:4448-4546 Cloning vector pGEM-luc	99
Sequence-17617	gnl|uv|X65316.2:4930-4931-49 Cloning vector pGEM-luc	51
Sequence-17618	gnl|uv|U13849.1:1-52 pGEX-1 Lambda T cloning vector	52
Sequence-17619	gnl|uv|U13849.1:204-304 pGEX-1 Lambda T cloning vector	101
Sequence-17620	gnl|uv|U13849.1:637-735 pGEX-1 Lambda T cloning vector	99
Sequence-17621	gnl|uv|U13849.1:745-843 pGEX-1 Lambda T cloning vector	99
Sequence-17622	gnl|uv|U13849.1:865-1011 pGEX-1 Lambda T cloning vector	147
Sequence-17623	gnl|uv|U13849.1:1097-1192 pGEX-1 Lambda T cloning vector	96
Sequence-17624	gnl|uv|U13849.1:3163-3266 pGEX-1 Lambda T cloning vector	104
Sequence-17625	gnl|uv|U13849.1:4893-4947-49 pGEX-1 Lambda T cloning vector	104
Sequence-17626	gnl|uv|U13850.1:891-987 pGEX-2T cloning vector	97
Sequence-17627	gnl|uv|U13852.1:1-50 pGEX-3X cloning vector	50
Sequence-17628	gnl|uv|U13852.1:872-982 pGEX-3X cloning vector	111
Sequence-17629	gnl|uv|U13852.1:4905-4952-49 pGEX-3X cloning vector	97
Sequence-17630	gnl|uv|U13855.1:890-1013 pGEX-4T3 cloning vector	124
Sequence-17631	gnl|uv|U13851.1:886-998 pGEX-2TK cloning vector	113
Sequence-17632	gnl|uv|U13853.1:896-987 pGEX-4T1 cloning vector	92
Sequence-17633	gnl|uv|U13854.1:889-987 pGEX-4T2 cloning vector	99
Sequence-17634	gnl|uv|U13856.1:894-982 pGEX-5X1 cloning vector	89
Sequence-17635	gnl|uv|U13857.1:895-982 pGEX-5X2 cloning vector	88
Sequence-17636	gnl|uv|U13858.1:893-982 pGEX-5X3 cloning vector	90
Sequence-17637	gnl|uv|U78874.1:873-991 pGEX-6P-3 cloning vector	119
Sequence-17638	gnl|uv|U78872.1:905-991 Cloning vector pGEX-6P-1	87
Sequence-17639	gnl|uv|U78873.1:904-991 pGEX-6P-2 cloning vector	88
Sequence-17640	gnl|uv|U47298.2:204-293 Cloning vector pGL3-Promoter	90
Sequence-17641	gnl|uv|U13859.1:1-52 pKK232-8 cloning vector	52
Sequence-17642	gnl|uv|U13859.1:128-364 pKK232-8 cloning vector	237
Sequence-17643	gnl|uv|U13859.1:966-1067 pKK232-8 cloning vector	102
Sequence-17644	gnl|uv|U13859.1:1114-1209 pKK232-8 cloning vector	96
Sequence-17645	gnl|uv|U13859.1:1543-1708 pKK232-8 cloning vector	166
Sequence-17646	gnl|uv|U13859.1:2041-2207 pKK232-8 cloning vector	167
Sequence-17647	gnl|uv|U13859.1:5051-5094-49 pKK232-8 cloning vector	93
Sequence-17648	gnl|uv|U13863.1:1-69 pPL-Lambda cloning vector	69
Sequence-17649	gnl|uv|U13863.1:1189-1278 pPL-Lambda cloning vector	90
Sequence-17650	gnl|uv|U13863.1:5176-5216-49 pPL-Lambda cloning vector	90
Sequence-17651	gnl|uv|U47120.2:611-715 Cloning vector pCI-neo, mammalian expression vector	105
Sequence-17652	gnl|uv|U47120.2:791-908 Cloning vector pCI-neo, mammalian expression vector	118
Sequence-17653	gnl|uv|U47120.2:1092-1207 Cloning vector pCI-neo, mammalian expression vector	116
Sequence-17654	gnl|uv|U47120.2:1345-1453 Cloning vector pCI-neo, mammalian expression vector	109
Sequence-17655	gnl|uv|U47120.2:1944-2043 Cloning vector pCI-neo, mammalian expression vector	100
Sequence-17656	gnl|uv|U47120.2:2402-2500 Cloning vector pCI-neo, mammalian expression vector	99
Sequence-17657	gnl|uv|U47120.2:3265-3440 Cloning vector pCI-neo, mammalian expression vector	176
Sequence-17658	gnl|uv|U13862.1:1-77 pNEO cloning vector	77
Sequence-17659	gnl|uv|U13862.1:1479-1571 pNEO cloning vector	93
Sequence-17660	gnl|uv|U13862.1:5494-5508-49 pNEO cloning vector	64
Sequence-17661	gnl|uv|U47103.2:1-211 Cloning vector pALTER<R>-Ex2	211
Sequence-17662	gnl|uv|U47103.2:541-705 Cloning vector pALTER<R>-Ex2	165
Sequence-17663	gnl|uv|U47103.2:1242-1340 Cloning vector pALTER<R>-Ex2	99
Sequence-17664	gnl|uv|U47103.2:2358-2455 Cloning vector pALTER<R>-Ex2	98
Sequence-17665	gnl|uv|U47103.2:3339-3435 Cloning vector pALTER<R>-Ex2	97
Sequence-17666	gnl|uv|U47103.2:4853-4948 Cloning vector pALTER<R>-Ex2	96
Sequence-17667	gnl|uv|U47103.2:5087-5193 Cloning vector pALTER<R>-Ex2	107
Sequence-17668	gnl|uv|U47103.2:5798-5835-49 Cloning vector pALTER<R>-Ex2	87
Sequence-17669	gnl|uv|U47102.2:163-213 Cloning vector pALTER<R>-Ex1	51
Sequence-17670	gnl|uv|U47102.2:2880-2977 Cloning vector pALTER<R>-Ex1	98
Sequence-17671	gnl|uv|U47102.2:3610-3708 Cloning vector pALTER<R>-Ex1	99
Sequence-17672	gnl|uv|U47102.2:4192-4289 Cloning vector pALTER<R>-Ex1	98
Sequence-17673	gnl|uv|U47102.2:5117-5214 Cloning vector pALTER<R>-Ex1	98
Sequence-17674	gnl|uv|U47102.2:5626-5675 Cloning vector pALTER<R>-Ex1	50
Sequence-17675	gnl|uv|U13845.1:1-336 pCH110 cloning vector	336
Sequence-17676	gnl|uv|U13845.1:3557-3653 pCH110 cloning vector	97
Sequence-17677	gnl|uv|U13845.1:4445-4534 pCH110 cloning vector	90
Sequence-17678	gnl|uv|U13845.1:7082-7128-49 pCH110 cloning vector	96
Sequence-17679	gnl|uv|U13860.1:1-71 pMSG cloning vector	71
Sequence-17680	gnl|uv|U13860.1:829-919 pMSG cloning vector	91
